2021-09-03 06:33:06 status installed dirmngr:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 configure gpg-wks-server:amd64 2.2.12-1+deb10u1 <none>
2021-09-03 06:33:06 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-configured gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 configure gpg-wks-client:amd64 2.2.12-1+deb10u1 <none>
2021-09-03 06:33:06 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-configured gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 status installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-09-03 06:33:06 configure gnupg:all 2.2.12-1+deb10u1 <none>
2021-09-03 06:33:06 status unpacked gnupg:all 2.2.12-1+deb10u1
2021-09-03 06:33:06 status half-configured gnupg:all 2.2.12-1+deb10u1
2021-09-03 06:33:06 status installed gnupg:all 2.2.12-1+deb10u1
2021-09-03 06:33:06 trigproc libc-bin:amd64 2.28-10 <none>
2021-09-03 06:33:06 status half-configured libc-bin:amd64 2.28-10
2021-09-03 06:33:06 status installed libc-bin:amd64 2.28-10
2021-09-03 06:33:16 startup archives unpack
2021-09-03 06:33:16 install perl-modules-5.28:all <none> 5.28.1-6+deb10u1
2021-09-03 06:33:16 status half-installed perl-modules-5.28:all 5.28.1-6+deb10u1
2021-09-03 06:33:17 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2021-09-03 06:33:17 install libgdbm6:amd64 <none> 1.18.1-4
2021-09-03 06:33:17 status triggers-pending libc-bin:amd64 2.28-10
2021-09-03 06:33:17 status half-installed libgdbm6:amd64 1.18.1-4
2021-09-03 06:33:17 status unpacked libgdbm6:amd64 1.18.1-4
2021-09-03 06:33:17 install libgdbm-compat4:amd64 <none> 1.18.1-4
2021-09-03 06:33:17 status half-installed libgdbm-compat4:amd64 1.18.1-4
2021-09-03 06:33:17 status unpacked libgdbm-compat4:amd64 1.18.1-4
2021-09-03 06:33:17 install libperl5.28:amd64 <none> 5.28.1-6+deb10u1
2021-09-03 06:33:17 status half-installed libperl5.28:amd64 5.28.1-6+deb10u1
2021-09-03 06:33:17 status unpacked libperl5.28:amd64 5.28.1-6+deb10u1
2021-09-03 06:33:17 install perl:amd64 <none> 5.28.1-6+deb10u1
2021-09-03 06:33:17 status half-installed perl:amd64 5.28.1-6+deb10u1
2021-09-03 06:33:17 status unpacked perl:amd64 5.28.1-6+deb10u1
2021-09-03 06:33:17 install libpython2.7-minimal:amd64 <none> 2.7.16-2+deb10u1
2021-09-03 06:33:17 status half-installed libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:17 status unpacked libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:17 install python2.7-minimal:amd64 <none> 2.7.16-2+deb10u1
2021-09-03 06:33:17 status half-installed python2.7-minimal:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:17 status unpacked python2.7-minimal:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:17 install python2-minimal:amd64 <none> 2.7.16-1
2021-09-03 06:33:17 status half-installed python2-minimal:amd64 2.7.16-1
2021-09-03 06:33:18 status unpacked python2-minimal:amd64 2.7.16-1
2021-09-03 06:33:18 install python-minimal:amd64 <none> 2.7.16-1
2021-09-03 06:33:18 status half-installed python-minimal:amd64 2.7.16-1
2021-09-03 06:33:18 status unpacked python-minimal:amd64 2.7.16-1
2021-09-03 06:33:18 install mime-support:all <none> 3.62
2021-09-03 06:33:18 status half-installed mime-support:all 3.62
2021-09-03 06:33:18 status unpacked mime-support:all 3.62
2021-09-03 06:33:18 install libexpat1:amd64 <none> 2.2.6-2+deb10u1
2021-09-03 06:33:18 status half-installed libexpat1:amd64 2.2.6-2+deb10u1
2021-09-03 06:33:18 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2021-09-03 06:33:18 install libpython2.7-stdlib:amd64 <none> 2.7.16-2+deb10u1
2021-09-03 06:33:18 status half-installed libpython2.7-stdlib:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:18 status unpacked libpython2.7-stdlib:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:18 install python2.7:amd64 <none> 2.7.16-2+deb10u1
2021-09-03 06:33:18 status half-installed python2.7:amd64 2.7.16-2+deb10u1
